texto_original,texto_limpio
¿Dónde se sitúa Islandia?,dónde se sitúa islandia
¿Contra quién ha jugado el River Plate de Argentina?,contra quién ha jugado el river plate de argentina
¿Cómo era visto el Solanum tuberosum por los exploradores nativos de España?,cómo era visto el solanum tuberosum por los exploradores nativos de españa
¿De qué ha muerto la conocida guionista colombiana?,de qué ha muerto la conocida guionista colombiana
¿Cómo es la España moderna según Aznar?,cómo es la españa moderna según aznar
¿Cuál es la traducción literal del nombre que se le dio en Japón a The Legend of Zelda: Oracle of Seasons?,cuál es la traducción literal del nombre que se le dio en japón a the legend of zelda oracle of seasons
¿Qué están planeando los congresistas en Georgia?,qué están planeando los congresistas en georgia
¿Cuándo rompieron Chile y Colombia lazos diplomáticos con Cuba?,cuándo rompieron chile y colombia lazos diplomáticos con cuba
¿En qué parte del día emitirán sus votos las mujeres? ,en qué parte del día emitirán sus votos las mujeres
¿Quién organizó la reunión de Luxemburgo?,quién organizó la reunión de luxemburgo
¿Qué web fue bloqueada por la fiscalía general de la capital de Turquía?,qué web fue bloqueada por la fiscalía general de la capital de turquía
¿En qué evento intervino el gobernante brasileño?,en qué evento intervino el gobernante brasileño
¿Cuándo construyó Gustavo Adolfo de Suecia un fuerte?,cuándo construyó gustavo adolfo de suecia un fuerte
¿Cuánto dinero aportó la Enid Blyton Trust for Children a las organizaciones para niños de Reino Unido?,cuánto dinero aportó la enid blyton trust for children a las organizaciones para niños de reino unido
¿Dónde está situado Caguán en Colombia?,dónde está situado caguán en colombia
¿Qué título se le dio a esta película en India?,qué título se le dio a esta película en india
¿Qué representará la formalización de esta relación?,qué representará la formalización de esta relación
¿Cómo cambió la composición lingüística del país tras la llegada de refugiados a Grecia tras la Primera Guerra Mundial?,cómo cambió la composición lingüística del país tras la llegada de refugiados a grecia tras la primera guerra mundial
¿De dónde han sido sacados Gómez Saleh y Valles Sguerzi?,de dónde han sido sacados gómez saleh y valles sguerzi
¿Por qué atracción fue sustituida Back to the Future: The Ride en Japón?,por qué atracción fue sustituida back to the future the ride en japón
¿A quiénes se acoge en Sudáfrica?,a quiénes se acoge en sudáfrica
¿Dónde solía realizar sus partidos Chile?,dónde solía realizar sus partidos chile
¿Quién fue el rival de Italia?,quién fue el rival de italia
¿Quién arbitró el partido de Suiza contra España?,quién arbitró el partido de suiza contra españa
¿Quiénes fueron los últimos nativos que se establecieron en Indiana?,quiénes fueron los últimos nativos que se establecieron en indiana
¿Qué efeméride se recordó en las calles de la capital argentina?,qué efeméride se recordó en las calles de la capital argentina
¿Cuántos tiros ha lanzado Nigeria en el área? ,cuántos tiros ha lanzado nigeria en el área
¿Cuál es el balance de víctimas de las intensas lluvias que han asolado Colombia?,cuál es el balance de víctimas de las intensas lluvias que han asolado colombia
¿Qué premio ganó Margarita Fullana?,qué premio ganó margarita fullana
¿Cómo quedaron los navíos estadounidenses tras el ataque japonés de Pearl Harbor?,cómo quedaron los navíos estadounidenses tras el ataque japonés de pearl harbor
¿Cuánto tiempo han dirigido los socialdemócratas Suecia?,cuánto tiempo han dirigido los socialdemócratas suecia
¿Cómo se llama la ciudad con un mayor número de habitantes de Argentina?,cómo se llama la ciudad con un mayor número de habitantes de argentina
¿Cuántos dinero se envía fuera de España?,cuántos dinero se envía fuera de españa
¿Con quién tuvo un encuentro la presidenta argentina?,con quién tuvo un encuentro la presidenta argentina
¿Cuál es la tasa de paro en España?,cuál es la tasa de paro en españa
¿Quién se encargó de Knut tras sacarlo de la incubadora?,quién se encargó de knut tras sacarlo de la incubadora
¿Cómo quedó el marcador entre Argentina y Alemania en los cuartos de final del mundial?,cómo quedó el marcador entre argentina y alemania en los cuartos de final del mundial
¿Cuál fue el acontecimiento histórico que puso en pausa la continuación de la obra de Binder a su vuelta a Colombia?,cuál fue el acontecimiento histórico que puso en pausa la continuación de la obra de binder a su vuelta a colombia
¿En qué ámbitos se originaron las principales obras de arte de Japón?,en qué ámbitos se originaron las principales obras de arte de japón
¿Junto a qué otros monumentos es la Sagrada Familia de los más visitados de España?,junto a qué otros monumentos es la sagrada familia de los más visitados de españa
¿Cuántas agencias hay en Panamá?,cuántas agencias hay en panamá
¿A quién se enfrenta España en el primer partido de la fase final?,a quién se enfrenta españa en el primer partido de la fase final
¿Cuánto subió la demanda de café en Alemania en 1999?,cuánto subió la demanda de café en alemania en 1999
¿Qué rasgos del costumbrismo romántico se evidencian en el realismo español?,qué rasgos del costumbrismo romántico se evidencian en el realismo español
¿A quién exporta España material deportivo principalmente?,a quién exporta españa material deportivo principalmente
¿Quién estaba al mando de la RDA?,quién estaba al mando de la rda
¿Quiénes eran los objetos de culto en la Antigua Grecia?,quiénes eran los objetos de culto en la antigua grecia
¿De qué valores se jacta el mandatario brasileño?,de qué valores se jacta el mandatario brasileño
¿Qué ha implantado Iber-X en España?,qué ha implantado iberx en españa
¿Qué está prohibido para las empresas de EEUU en Cuba?,qué está prohibido para las empresas de eeuu en cuba
¿Cuándo acude Rossieli Soares a la frontera con Colombia?,cuándo acude rossieli soares a la frontera con colombia
¿Dónde se sitúa Ise geográficamente dentro de Japón?,dónde se sitúa ise geográficamente dentro de japón
¿Cuál era la percepción que se tenía de los Estados Unidos desde Suecia gracias a los testimonios de los primeros emigrantes?,cuál era la percepción que se tenía de los estados unidos desde suecia gracias a los testimonios de los primeros emigrantes
¿En qué zonas de Brasil se adoptará esta medida?,en qué zonas de brasil se adoptará esta medida
¿En qué año pidió Egipto que se le devolviera la Piedra de Rosetta?,en qué año pidió egipto que se le devolviera la piedra de rosetta
¿Cuánto petróleo venderá Venezuela a los países de la región?,cuánto petróleo venderá venezuela a los países de la región
¿Cuál es el motivo del viaje a Australia del pontífice?,cuál es el motivo del viaje a australia del pontífice
¿Por qué premio compitieron Eslovenia y España?,por qué premio compitieron eslovenia y españa
¿Quién es el santo patrón de España?,quién es el santo patrón de españa
¿Qué cifra de estadounidenses hizo uso de su voto?,qué cifra de estadounidenses hizo uso de su voto
¿Por qué la economía china crece más de lo esperado?,por qué la economía china crece más de lo esperado
¿Cuándo tendrán lugar las nuevas votaciones en Japón?,cuándo tendrán lugar las nuevas votaciones en japón
¿Cuál era el porcentaje de personas que habitaban en ciudades en Argentina el año 2011?,cuál era el porcentaje de personas que habitaban en ciudades en argentina el año 2011
¿Quién está al frente de Australia?,quién está al frente de australia
¿Cuáles son los nombres de los tres estadios de fútbol de Ciudad de México?,cuáles son los nombres de los tres estadios de fútbol de ciudad de méxico
¿En qué publicaciones rastreó Joaquín Riera el concepto de las dos Españas?,en qué publicaciones rastreó joaquín riera el concepto de las dos españas
¿Cómo llamaron Disney e Iwerks a la empresa que fundaron tras ser despachados de Pesmen-Rubin?,cómo llamaron disney e iwerks a la empresa que fundaron tras ser despachados de pesmenrubin
¿Cómo eran los reinos en el periodo de la Casa de Austria?,cómo eran los reinos en el periodo de la casa de austria
¿Dónde jugaron Chile y México?,dónde jugaron chile y méxico
¿Quién ocupa el cargo de Ministro de Finanzas en Francia?,quién ocupa el cargo de ministro de finanzas en francia
¿Dónde se enfrentaron Francia y Nigeria?,dónde se enfrentaron francia y nigeria
¿Cuántos prisioneros fueron encarcelados por los chilenos según William F. Sater?,cuántos prisioneros fueron encarcelados por los chilenos según william f sater
¿Quién fue el rival de Nigeria?,quién fue el rival de nigeria
¿Cuándo empezaron las desconexiones en Birmania?,cuándo empezaron las desconexiones en birmania
¿Quién creía que la Iglesia administró mal España?,quién creía que la iglesia administró mal españa
¿Qué cargos pueden ser sometidos a un proceso de impedimento de acuerdo con la Constitución brasileña?,qué cargos pueden ser sometidos a un proceso de impedimento de acuerdo con la constitución brasileña
¿Cuándo se enfrentarán Colombia y Argentina?,cuándo se enfrentarán colombia y argentina
¿Cuántas zonas climáticas tiene Madagascar?,cuántas zonas climáticas tiene madagascar
¿Cuál es el nombre completo del príncipe Rainiero III de Mónaco?,cuál es el nombre completo del príncipe rainiero iii de mónaco
¿Cuándo volvió la moralidad cristiana a España?,cuándo volvió la moralidad cristiana a españa
"¿Qué significa ""Dusty Chute"" en español?",qué significa dusty chute en español
¿Qué tipo de república es México?,qué tipo de república es méxico
¿Quién fue el encargado de construir las fachadas norte y este del castillo de Cuéllar?,quién fue el encargado de construir las fachadas norte y este del castillo de cuéllar
¿A qué país ofrece un apoyo sin fisuras el gobierno australiano?  ,a qué país ofrece un apoyo sin fisuras el gobierno australiano
¿Cuál fue el autor portugués que trató el tema de las dos Españas?,cuál fue el autor portugués que trató el tema de las dos españas
¿Cuál de los escritos de Andrade se considera uno de los pilares de la literatura de Brasil?,cuál de los escritos de andrade se considera uno de los pilares de la literatura de brasil
¿Quién defiende a Sandro?,quién defiende a sandro
¿Por qué fue importante la obtención del Zero por los estadounidenses?,por qué fue importante la obtención del zero por los estadounidenses
¿Cuándo se prevé que Islandia acabe de pagar el crédito?,cuándo se prevé que islandia acabe de pagar el crédito
¿Cuál es la construcción que ha permitido unir por tierra Gran Bretaña con Francia?,cuál es la construcción que ha permitido unir por tierra gran bretaña con francia
¿Qué hace el ciclista para estar preparado para el Tour de Francia?,qué hace el ciclista para estar preparado para el tour de francia
¿De qué nacionalidad es Lorent Enrique Gómez Saleh?,de qué nacionalidad es lorent enrique gómez saleh
¿A cuánto asciende la deuda argentina adquirida por Venezuela?,a cuánto asciende la deuda argentina adquirida por venezuela
¿Cuándo se inició la historia del ferrocarril en Bolivia?,cuándo se inició la historia del ferrocarril en bolivia
¿Cuándo producirá la fábrica de Brasil modelos Picasso y 206?,cuándo producirá la fábrica de brasil modelos picasso y 206
¿Cuánto cotiza el café de Colombia en Junio?,cuánto cotiza el café de colombia en junio
¿Quién fue el presidente del primer gobierno republicano en Portugal?,quién fue el presidente del primer gobierno republicano en portugal
¿Cuánto tiempo duraron los conflictos previos a la caída de México-Tenochtitlan a manos de los conquistadores españoles?,cuánto tiempo duraron los conflictos previos a la caída de méxicotenochtitlan a manos de los conquistadores españoles
¿Cuánta gente no volvió a ser vista tras el terremoto en Japón?,cuánta gente no volvió a ser vista tras el terremoto en japón
¿Cuánto dinero les daba la administración colombiana a los combatientes?,cuánto dinero les daba la administración colombiana a los combatientes
¿Cuándo llegó Evo Morales a México?,cuándo llegó evo morales a méxico
¿Cuándo alcanzó Japón su tasa de paro más alta?,cuándo alcanzó japón su tasa de paro más alta
¿En cuántas asociaciones se agrupan los árbitros de balompié en Argentina?,en cuántas asociaciones se agrupan los árbitros de balompié en argentina
¿Quién preside Brasil?,quién preside brasil
¿Cómo fue acordada la suspensión de la candidatura a los Juegos Olímpicos de Invierno?,cómo fue acordada la suspensión de la candidatura a los juegos olímpicos de invierno
¿Cuál sería un ejemplo de artista relevante en la Grecia Clásica?,cuál sería un ejemplo de artista relevante en la grecia clásica
¿Cómo se llama la corriente filosófica principal en Argentina a finales del siglo XIX?,cómo se llama la corriente filosófica principal en argentina a finales del siglo xix
¿Para qué medio trabaja Catherine Pepinster?,para qué medio trabaja catherine pepinster
¿Por qué construían los indígenas islas artificiales en los bajos de la laguna de México-Tenochtitlan?,por qué construían los indígenas islas artificiales en los bajos de la laguna de méxicotenochtitlan
¿Qué ha recuperado el gobierno iraquí tras la retirada de los militares estadounidenses?,qué ha recuperado el gobierno iraquí tras la retirada de los militares estadounidenses
¿Qué deporte en España está en un aprieto de origen?,qué deporte en españa está en un aprieto de origen
¿Qué porcentaje de estadounidenses están a favor del matrimonio homosexual?,qué porcentaje de estadounidenses están a favor del matrimonio homosexual
¿Dónde ha sido liberado el político colombiano?,dónde ha sido liberado el político colombiano
¿A qué equipo se enfrenta Argentina?,a qué equipo se enfrenta argentina
¿Cómo estaba limitada la actuación de los asesores estadounidenses?,cómo estaba limitada la actuación de los asesores estadounidenses
¿Qué vía de entrada tuvo el gótico en España?,qué vía de entrada tuvo el gótico en españa
¿Dónde se firmará el acuerdo entre Panamá y Venezuela?,dónde se firmará el acuerdo entre panamá y venezuela
¿Por qué Grecia no quería que la Antigua República Yugoslava de Macedonia usase el nombre de Macedonia?,por qué grecia no quería que la antigua república yugoslava de macedonia usase el nombre de macedonia
¿Quién estaba a cargo de Japón durante la época Edo?,quién estaba a cargo de japón durante la época edo
¿Qué país envió a sus sanitarios a Venezuela?,qué país envió a sus sanitarios a venezuela
¿Cómo se le llama al criminal de Venezuela?,cómo se le llama al criminal de venezuela
¿Cuánto va a invertir la administración italiana en ayudas al avance?,cuánto va a invertir la administración italiana en ayudas al avance
¿Cuál es el nombre formal que Scopoli le dio al avión roquero?,cuál es el nombre formal que scopoli le dio al avión roquero
¿Cuál era el motivo del viaje a Perú de la presidenta Chinchilla? ,cuál era el motivo del viaje a perú de la presidenta chinchilla
¿Cómo era Japón antes de la época Meiji?,cómo era japón antes de la época meiji
¿A quién ha denegado la entrada Sudáfrica?,a quién ha denegado la entrada sudáfrica
¿Quién fundó el Partido Comunista de China?,quién fundó el partido comunista de china
¿Cuándo tendrán lugar las votaciones estadounidenses?,cuándo tendrán lugar las votaciones estadounidenses
¿Para qué se trasladó Emma Watson a Bangladés?,para qué se trasladó emma watson a bangladés
¿Qué prohíbe Estados Unidos a países como España y Brasil?,qué prohíbe estados unidos a países como españa y brasil
¿Cuánto habrá que pagar para verlos en directo en Chile?,cuánto habrá que pagar para verlos en directo en chile
¿Qué ha pedido HI a EEUU y Vietnam?,qué ha pedido hi a eeuu y vietnam
¿Quién es el candidato republicano a las elecciones generales estadounidenses?,quién es el candidato republicano a las elecciones generales estadounidenses
¿Qué cargo ocupaba Edgardo von Schroeders en la Marina de Chile?,qué cargo ocupaba edgardo von schroeders en la marina de chile
¿Por qué tomará Venezuela esas medidas?,por qué tomará venezuela esas medidas
¿Quién se presentaría en un futuro a las elecciones por Chile Primero?,quién se presentaría en un futuro a las elecciones por chile primero
¿Qué medida ha adoptado la Unión Europea con respecto a Cuba?,qué medida ha adoptado la unión europea con respecto a cuba
¿Quiénes son los atletas estadounidenses?,quiénes son los atletas estadounidenses
¿Cuántos años estuvo presente el ejército del Reino Unido en el país asiático?,cuántos años estuvo presente el ejército del reino unido en el país asiático
¿Qué acontecimiento fue considerado como un acto de piratería por España?,qué acontecimiento fue considerado como un acto de piratería por españa
"¿Cuánto cuesta la suite suiza en la que vive el presidente del COI, según él?",cuánto cuesta la suite suiza en la que vive el presidente del coi según él
¿Qué competición tiene lugar antes de la Vuelta a España?,qué competición tiene lugar antes de la vuelta a españa
¿Cuál es la ciudad principal de Indiana?,cuál es la ciudad principal de indiana
¿Cómo se llama la tarjeta que será necesaria para comprar tabaco en Japón?,cómo se llama la tarjeta que será necesaria para comprar tabaco en japón
¿Por qué se postergó la visita de estado a Francia planificada en el verano de 1938?,por qué se postergó la visita de estado a francia planificada en el verano de 1938
¿Cuáles son las medidas que presenta la basílica de San Pedro?,cuáles son las medidas que presenta la basílica de san pedro
¿Cuánto cuesta el ordenador creado por los expertos de Yellow Sheep River de China?,cuánto cuesta el ordenador creado por los expertos de yellow sheep river de china
¿Qué medidas se han tomado contra Austria por parte de Alemania?,qué medidas se han tomado contra austria por parte de alemania
¿Qué federación quiso reorganizar El Salvador?,qué federación quiso reorganizar el salvador
¿Qué densidad de población tiene Haití?,qué densidad de población tiene haití
¿A qué género se reasignó el avión roquero en 1850?,a qué género se reasignó el avión roquero en 1850
¿Quién es el presidente actual de México?,quién es el presidente actual de méxico
¿Cómo fue incorporado el territorio de El Salvador al Imperio Español?,cómo fue incorporado el territorio de el salvador al imperio español
¿Cuántos de las personas que apoyaron la creación del CURCC eran nativos de Uruguay?,cuántos de las personas que apoyaron la creación del curcc eran nativos de uruguay
¿Cuándo es el arte indiano equiparable en lo que se refiere a estilos con el arte europeo?,cuándo es el arte indiano equiparable en lo que se refiere a estilos con el arte europeo
¿Con quién rivalizó Maradona en Italia?,con quién rivalizó maradona en italia
¿Cuántos galardones pretende el deportista que obtenga Cuba?,cuántos galardones pretende el deportista que obtenga cuba
¿Cuántas personas con nacionalidad chilena usaron en 2019 el Aeropuerto Internacional para viajar?,cuántas personas con nacionalidad chilena usaron en 2019 el aeropuerto internacional para viajar
¿Cuántos artistas representaron a España en la Exposición de Arte de Venecia?,cuántos artistas representaron a españa en la exposición de arte de venecia
¿Qué día se lanzó la NES en Japón?,qué día se lanzó la nes en japón
¿Qué ha concedido Brasil al mandatario ecuatoriano depuesto?,qué ha concedido brasil al mandatario ecuatoriano depuesto
¿Qué factor fue el más determinante en la recesión económica de 2008 según el Banco de España?,qué factor fue el más determinante en la recesión económica de 2008 según el banco de españa
¿Qué derechos se incluían en la ley que permitía el matrimonio homosexual en España?,qué derechos se incluían en la ley que permitía el matrimonio homosexual en españa
¿Cómo quedaron Chile y México en la competición de ayer?,cómo quedaron chile y méxico en la competición de ayer
¿Cuáles son las influencias de la arquitectura románica española?,cuáles son las influencias de la arquitectura románica española
¿Quién está al frente de Venezuela?,quién está al frente de venezuela
¿Cómo son las tasas de asesinatos en México?,cómo son las tasas de asesinatos en méxico
¿Quién de los candidatos a primer ministro de Transición tras el golpe de Tailandia había sido director General de la Organización Mundial del Comercio y Secretario general de la UNCTAD?,quién de los candidatos a primer ministro de transición tras el golpe de tailandia había sido director general de la organización mundial del comercio y secretario general de la unctad
¿Con quién igualó ayer el partido Argelia?,con quién igualó ayer el partido argelia
¿Qué ofreció Cortés al pueblo de Chicomácatl a cambio de su ayuda en la conquista de México?,qué ofreció cortés al pueblo de chicomácatl a cambio de su ayuda en la conquista de méxico
¿Quién es el padre de Mariquiña?,quién es el padre de mariquiña
¿Cómo reaccionó el poder legislativo del Reino Unido ante una idea similar?,cómo reaccionó el poder legislativo del reino unido ante una idea similar
¿Cuándo viajará el equipo a Argentina?,cuándo viajará el equipo a argentina
¿Quién está en España para hablar sobre comercio e inversión en su país?,quién está en españa para hablar sobre comercio e inversión en su país
¿Qué delitos atribuyen las autoridades colombianas a Collazzos?,qué delitos atribuyen las autoridades colombianas a collazzos
¿Dónde está de gira el canciller cubano?,dónde está de gira el canciller cubano
¿Dónde deben aparecer las entidades religiosas en España para que las uniones matrimoniales que celebren sean consideradas válidas?,dónde deben aparecer las entidades religiosas en españa para que las uniones matrimoniales que celebren sean consideradas válidas
¿Cuánto café va a elaborar Colombia este año cafetero según Cárdenas?,cuánto café va a elaborar colombia este año cafetero según cárdenas
¿De cuántos grados fue el terremoto en Japón?,de cuántos grados fue el terremoto en japón
¿Quién gobernará Panamá del 2014-2019?,quién gobernará panamá del 20142019
¿Qué decisión canónica ha dado a conocer un prelado colombiano?,qué decisión canónica ha dado a conocer un prelado colombiano
¿Cuál fue la causa del desastre en Haití?,cuál fue la causa del desastre en haití
¿Qué deuda se estima que tiene Cuba con la URSS?,qué deuda se estima que tiene cuba con la urss
¿Cuántas víctimas hubo en Afganistán por las protestas que suscitó la noticia?,cuántas víctimas hubo en afganistán por las protestas que suscitó la noticia
¿Por qué se vetaron las camisetas de Bart Simpson en algunos centros educativos estadounidenses?,por qué se vetaron las camisetas de bart simpson en algunos centros educativos estadounidenses
¿Cuál es la capital de filipinas?,cuál es la capital de filipinas
¿Cuántos presos han fallecido en el Centro de Detención Judicial en el estado Amazonas en el sur de Venezuela?,cuántos presos han fallecido en el centro de detención judicial en el estado amazonas en el sur de venezuela
¿Qué medida tomarán las autoridades israelíes si no cesa la violencia?,qué medida tomarán las autoridades israelíes si no cesa la violencia
¿Qué países europeos son más montañosos que España?,qué países europeos son más montañosos que españa
¿Qué es el PGOU?,qué es el pgou
¿A qué culto se suscriben las catedrales de España?,a qué culto se suscriben las catedrales de españa
¿Cuándo acabarán de construir la Torre de la Libertad?,cuándo acabarán de construir la torre de la libertad
¿Qué medio ha dado la noticia de las muertes en las minas chinas?,qué medio ha dado la noticia de las muertes en las minas chinas
¿Quién es el dirigente de Italia?,quién es el dirigente de italia
¿Cómo califica el vicepresidente colombiano las mediciones sobre pobreza?,cómo califica el vicepresidente colombiano las mediciones sobre pobreza
¿Por cuánto se impusieron los australianos al equipo canadiense?,por cuánto se impusieron los australianos al equipo canadiense
¿Dónde se juntaron el pontífice y el mandatario uruguayo?,dónde se juntaron el pontífice y el mandatario uruguayo
¿Por cuánto han vencido las Leonas a España en el partido de hockey?,por cuánto han vencido las leonas a españa en el partido de hockey
¿Cuándo se crea una crisis política sin parangón en la España Medieval?,cuándo se crea una crisis política sin parangón en la españa medieval
"¿Cuál es la clasificación en la Lista Roja de la UICN de las especies P. brunneus, P. pilosus, P. subniger y P. tokudae?",cuál es la clasificación en la lista roja de la uicn de las especies p brunneus p pilosus p subniger y p tokudae
¿Cuáles eran los cuerpos que conformaban el ejército de El Salvador en 1932?,cuáles eran los cuerpos que conformaban el ejército de el salvador en 1932
¿Qué país tiene presencia militar en Togo?,qué país tiene presencia militar en togo
¿Cómo está considerada esta votación en España?,cómo está considerada esta votación en españa
¿Quiénes sufrirán las consecuencias de las medidas de las aerolíneas según APAVIT?,quiénes sufrirán las consecuencias de las medidas de las aerolíneas según apavit
¿Qué ciudades estadounidenses se presentan como sede de los Juegos Olímpicos?,qué ciudades estadounidenses se presentan como sede de los juegos olímpicos
¿Cuándo finalizó la guerra civil de Japón?,cuándo finalizó la guerra civil de japón
¿Dónde resultó vencida Bulgaria en 1913?,dónde resultó vencida bulgaria en 1913
¿Quién es el jugador estrella del Universidad de Chile?,quién es el jugador estrella del universidad de chile
¿Qué PIB estimado tenía Filipinas en 2017?,qué pib estimado tenía filipinas en 2017
¿Con qué resultado se impuso Irlanda a Gales en la final del torneo?,con qué resultado se impuso irlanda a gales en la final del torneo
¿En cuántas ocasiones se han enfrentado la francesa y la australiana?,en cuántas ocasiones se han enfrentado la francesa y la australiana
¿En qué estadio jugaron ayer Argelia y Rusia?,en qué estadio jugaron ayer argelia y rusia
¿Cuál fue el movimiento social que se dio en España dentro del marco de la Crisis de 1917?,cuál fue el movimiento social que se dio en españa dentro del marco de la crisis de 1917
¿Qué acción ha motivado quejas y malestar en el centro de la capital colombiana?,qué acción ha motivado quejas y malestar en el centro de la capital colombiana
¿Bajo qué supuestos se considera legal el aborto en Argentina?,bajo qué supuestos se considera legal el aborto en argentina
¿De qué es sospechoso el colombiano detenido?,de qué es sospechoso el colombiano detenido
¿Cuántos ciudadanos tienen derecho a voto este martes en la república Dominicana?,cuántos ciudadanos tienen derecho a voto este martes en la república dominicana
¿Cuántos candidatos a diputado federal se presentaron en las elecciones generales de Brasil de 2006?,cuántos candidatos a diputado federal se presentaron en las elecciones generales de brasil de 2006
¿Cuántas vidas se ha cobrado el conflicto imperante en México?,cuántas vidas se ha cobrado el conflicto imperante en méxico
¿Cuándo se enfrentaron Croacia y Dinamarca?,cuándo se enfrentaron croacia y dinamarca
¿Sobre qué hablan las cartas que anunciaron el descubrimiento de las Indias?,sobre qué hablan las cartas que anunciaron el descubrimiento de las indias
¿Cuál fue la causa de la crisis de 2007 en España?,cuál fue la causa de la crisis de 2007 en españa
¿Cómo se sitúan los nidos de avión roquero?,cómo se sitúan los nidos de avión roquero
¿A quién debe rescatar Mario?,a quién debe rescatar mario
¿Cuál es el tratamiento del que goza Hong Kong dentro de la República Popular China?,cuál es el tratamiento del que goza hong kong dentro de la república popular china
¿A qué acceden tanto Paraguay como Uruguay gracias al empate?,a qué acceden tanto paraguay como uruguay gracias al empate
¿Con quién se encontrará Gaddafi en Italia?,con quién se encontrará gaddafi en italia
¿Por qué estaban los suecos resentidos con la luterana Iglesia de Suecia?,por qué estaban los suecos resentidos con la luterana iglesia de suecia
¿Dónde se acuñan las monedas de Uruguay tras el cierre de la Casa de Moneda de Montevideo?,dónde se acuñan las monedas de uruguay tras el cierre de la casa de moneda de montevideo
¿Cuál era el nombre oficial de los Juegos Olímpicos de México 1968?,cuál era el nombre oficial de los juegos olímpicos de méxico 1968
¿Qué sistema defensivo usará Colombia?,qué sistema defensivo usará colombia
¿Quiénes ocuparon el territorio de la actual República del Congo a mediados del siglo XIX?,quiénes ocuparon el territorio de la actual república del congo a mediados del siglo xix
¿Qué ha influido en la jardinería en España en el siglo XX?,qué ha influido en la jardinería en españa en el siglo xx
¿En qué continente tuvo lugar la Guerra de la Independencia Argentina?,en qué continente tuvo lugar la guerra de la independencia argentina
¿Cuál es el porcentaje de los paquetes de cigarrillos que deben ocupar las imágenes según la Ordenanza del Ministerio de Salud Pública de Uruguay N.º 466/09?,cuál es el porcentaje de los paquetes de cigarrillos que deben ocupar las imágenes según la ordenanza del ministerio de salud pública de uruguay n 46609
¿Cómo se tituló Saikaku Ichidai Onna en España?,cómo se tituló saikaku ichidai onna en españa
¿Qué hecho ha agravado la inestabilidad política en Italia?,qué hecho ha agravado la inestabilidad política en italia
¿Quién marcó el tanto de España contra Portugal?,quién marcó el tanto de españa contra portugal
¿Cómo se llama el río por el que habrían pasado las tropas de tierra para penetrar en Alemania?,cómo se llama el río por el que habrían pasado las tropas de tierra para penetrar en alemania
¿Cuándo se contabilizaron 3 799 780 hablantes de quechua en Perú?,cuándo se contabilizaron 3 799 780 hablantes de quechua en perú
¿Por cuánto venció Nigeria contra Kenia?,por cuánto venció nigeria contra kenia
¿Cuántos habitantes tenía Nueva Suecia?,cuántos habitantes tenía nueva suecia
¿Cuándo se independizó Haití?,cuándo se independizó haití
¿Quién ha prestado juramento en este acto celebrado en Argentina?,quién ha prestado juramento en este acto celebrado en argentina
¿Qué tipo de comicios se han celebrado en Ecuador?,qué tipo de comicios se han celebrado en ecuador
¿Quién dirige Colombia?,quién dirige colombia
¿Por qué puede ir a juicio la gente en Cuba?,por qué puede ir a juicio la gente en cuba
¿Dónde se juega el próximo Colombia Perú?,dónde se juega el próximo colombia perú
¿Qué hogares italianos disfrutarán de esta reducción de impuestos?,qué hogares italianos disfrutarán de esta reducción de impuestos
¿Dónde se acuñaron las monedas de la República Oriental del Uruguay entre 1839 y 1855?,dónde se acuñaron las monedas de la república oriental del uruguay entre 1839 y 1855
¿A quién se iba a seleccionar en las elecciones generales de Brasil de 2006?,a quién se iba a seleccionar en las elecciones generales de brasil de 2006
¿Quién fue el rival de Ecuador ayer en el Arena Baixada de Curitiba?,quién fue el rival de ecuador ayer en el arena baixada de curitiba
¿Qué le pasó a McGee cuando le diagnosticaron un tumor maligno?,qué le pasó a mcgee cuando le diagnosticaron un tumor maligno
¿Qué directivo ganó más durante 2007 en España?,qué directivo ganó más durante 2007 en españa
¿Qué candidato a las elecciones de Liberia de 2017 fue futbolista?,qué candidato a las elecciones de liberia de 2017 fue futbolista
"¿Quién acabó con la vida del guerrillero colombiano alias ""Mono Jojoy""?",quién acabó con la vida del guerrillero colombiano alias mono jojoy
¿Quién ganó el partido entre Bélgica y Rusia en el campo de Maracaná de Rio de Janeiro?,quién ganó el partido entre bélgica y rusia en el campo de maracaná de rio de janeiro
¿Qué título adquirió Catalina Amalia?,qué título adquirió catalina amalia
¿Durante cuánto tiempo fueron refugiados políticos los eruditos antiguos?,durante cuánto tiempo fueron refugiados políticos los eruditos antiguos
¿Cuál es el puesto de Japón en igualdad de sexos según el informe del Foro Económico Mundial?,cuál es el puesto de japón en igualdad de sexos según el informe del foro económico mundial
¿Quién dirige España?,quién dirige españa
¿Cuánto crecieron las exportaciones a Brasil?,cuánto crecieron las exportaciones a brasil
¿Cómo se llama el nuevo equipo de voleibol femenino?,cómo se llama el nuevo equipo de voleibol femenino
¿Quién hizo una labor equiparable a la de John Frere en el siglo XIX en España?,quién hizo una labor equiparable a la de john frere en el siglo xix en españa
¿Quién tomo el poder en Rusia después de la Revolución?,quién tomo el poder en rusia después de la revolución
¿A qué se debe el aumento de reservas de divisa de Rusia?,a qué se debe el aumento de reservas de divisa de rusia
¿Por qué se había marchado gran parte de la población japonesa de los campos rurales?,por qué se había marchado gran parte de la población japonesa de los campos rurales
¿Cuándo se celebraron los comicios en Islandia?,cuándo se celebraron los comicios en islandia
