texto_original,texto_limpio
¿Cuál era la profesión de la madre de Beckett?,cuál era la profesión de la madre de beckett
¿Cómo se llamaba el padre de Beckett?,cómo se llamaba el padre de beckett
¿Cómo era Beckett durante su niñez?,cómo era beckett durante su niñez
"¿Quiénes usan derivaciones de la palabra ""macedonia"" para definirse?","quiénes usan derivaciones de la palabra ""macedonia"" para definirse"
¿Cómo describen búlgaros y macedonios a las minorías eslavoparlantes del norte de Grecia?,cómo describen búlgaros y macedonios a las minorías eslavoparlantes del norte de grecia
¿Cuál es el punto de vista de los nacionalistas búlgaros respecto a la relación entre búlgaros y macedonios eslavos?,cuál es el punto de vista de los nacionalistas búlgaros respecto a la relación entre búlgaros y macedonios eslavos
¿Cuántas personas habitan en Macedonia?,cuántas personas habitan en macedonia
¿Cómo se definen los macedonios griegos?,cómo se definen los macedonios griegos
¿A qué nivel se consideran macedonios los habitantes de la Macedonia Septentrional?,a qué nivel se consideran macedonios los habitantes de la macedonia septentrional
¿Quién es Abu Jindal?,quién es abu jindal
¿En qué material está tallada la Virgen de los Milagros?,en qué material está tallada la virgen de los milagros
¿Cuál es la altura de esta escultura?,cuál es la altura de esta escultura
¿Por qué se añadieron partes a la escultura?,por qué se añadieron partes a la escultura
¿Cómo ha sido llamado el nuevo planeta descubierto?,cómo ha sido llamado el nuevo planeta descubierto
¿Quién ha descubierto Kepler-22b?,quién ha descubierto kepler-22b
¿Cuántos posibles planetas de tamaño parecido a la Tierra ha descubierto la misión?,cuántos posibles planetas de tamaño parecido a la tierra ha descubierto la misión
¿Cuál es el nombre real de El hobbit en inglés?,cuál es el nombre real de el hobbit en inglés
¿Quién escribió El hobbit?,quién escribió el hobbit
¿Para qué escribió Tolkien El hobbit?,para qué escribió tolkien el hobbit
¿Qué color no se incluyó en la impresión de la sobrecubierta de El hobbit?,qué color no se incluyó en la impresión de la sobrecubierta de el hobbit
¿Por qué se eliminó el color rojo de la sobrecubierta de El hobbit?,por qué se eliminó el color rojo de la sobrecubierta de el hobbit
¿Quién diseñó la sobrecubierta de El hobbit?,quién diseñó la sobrecubierta de el hobbit
¿Quién guionizó la adaptación cinematográfica de El hobbit?,quién guionizó la adaptación cinematográfica de el hobbit
¿Dónde se apartó el guión de Muller de la historia de la novela?,dónde se apartó el guión de muller de la historia de la novela
¿Cuáles fueron los aspectos de la adaptación cinematográfica de El hobbit que más disgustaron?,cuáles fueron los aspectos de la adaptación cinematográfica de el hobbit que más disgustaron
¿Cuándo se fusionaron SABMiller y Bavaria S.A.?,cuándo se fusionaron sabmiller y bavaria sa
¿Cuánto bajaron las acciones de Bavaria el martes?,cuánto bajaron las acciones de bavaria el martes
¿Cuál es el valor de Bavaria?,cuál es el valor de bavaria
¿Cuándo se construyó la basílica menor de Nuestra Señora de la Merced?,cuándo se construyó la basílica menor de nuestra señora de la merced
¿Cuál era la meta que se quería conseguir con la construcción de esta basílica?,cuál era la meta que se quería conseguir con la construcción de esta basílica
¿Cómo están delimitadas las distintas áreas del edificio?,cómo están delimitadas las distintas áreas del edificio
¿A qué se dedicó Binder a lo largo de su vida?,a qué se dedicó binder a lo largo de su vida
¿Dónde se encuentra Bad Imnau?,dónde se encuentra bad imnau
¿Cuál fue el acontecimiento histórico que puso en pausa la continuación de la obra de Binder a su vuelta a Colombia?,cuál fue el acontecimiento histórico que puso en pausa la continuación de la obra de binder a su vuelta a colombia
¿Dónde se conservan algunos restos escultóricos?,dónde se conservan algunos restos escultóricos
¿Cuántas naves tenía el templo?,cuántas naves tenía el templo
¿Qué contenía el baptisterio?,qué contenía el baptisterio
¿Quién esculpió la imagen de la exaltación de la Cruz rodeada por seis ángeles?,quién esculpió la imagen de la exaltación de la cruz rodeada por seis ángeles
¿Cuándo se realizó la cátedra?,cuándo se realizó la cátedra
¿De qué material se hizo la cátedra?,de qué material se hizo la cátedra
¿Quiénes compiten por el jersey amarillo?,quiénes compiten por el jersey amarillo
¿A qué velocidad corren los ciclistas?,a qué velocidad corren los ciclistas
¿Qué longitud tiene el circuito?,qué longitud tiene el circuito
¿Por dónde transcurre el circuito?,por dónde transcurre el circuito
¿Cuándo se celebra la carrera?,cuándo se celebra la carrera
¿Quién fue campeón el año pasado?,quién fue campeón el año pasado
¿Dónde logró la victoria Armstrong el año pasado?,dónde logró la victoria armstrong el año pasado
¿A qué contrincante prefiere Armstrong?,a qué contrincante prefiere armstrong
¿Cuándo ganó Armstrong?,cuándo ganó armstrong
¿Cuánto tiempo desapareció Jan Ullrich?,cuánto tiempo desapareció jan ullrich
¿Quiénes son los mejores ciclistas según Walter Goodefrot?,quiénes son los mejores ciclistas según walter goodefrot
¿Cuál es el objetivo de Pantani y Escartín?,cuál es el objetivo de pantani y escartín
¿Qué tipo de ciclistas son Pantani y Escartín?,qué tipo de ciclistas son pantani y escartín
¿Cómo se mostraba ayer Pantani?,cómo se mostraba ayer pantani
¿Cuándo hizo Pantani sus declaraciones?,cuándo hizo pantani sus declaraciones
¿Dónde ha desarrollado su carrera Christopher C. Kraft?,dónde ha desarrollado su carrera christopher c kraft
¿Qué reconocimiento obtuvo Kraft en 1966?,qué reconocimiento obtuvo kraft en 1966
¿Quién otorgó a Kraft el galardón Goddard Memorial Trophy?,quién otorgó a kraft el galardón goddard memorial trophy
¿Dónde empezó a trabajar Kraft tras terminar la universidad?,dónde empezó a trabajar kraft tras terminar la universidad
¿Qué era la NACA?,qué era la naca
¿Por qué se creó Kraft una imagen negativa de Chance Vought?,por qué se creó kraft una imagen negativa de chance vought
¿Cuánto tiempo ha pasado del violento seísmo que sufrió el país sudamericano?,cuánto tiempo ha pasado del violento seísmo que sufrió el país sudamericano
¿Cuál fue el balance de daños materiales y humanos de la catástrofe?,cuál fue el balance de daños materiales y humanos de la catástrofe
¿Quién felicitó a Hillary Clinton por su victoria?,quién felicitó a hillary clinton por su victoria
¿En qué estado fue gobernador Mitt Romney?,en qué estado fue gobernador mitt romney
¿Dónde ganó Hillary Clinton?,dónde ganó hillary clinton
¿Cuánto aumentaron las acciones de la entidad financiera el lunes?,cuánto aumentaron las acciones de la entidad financiera el lunes
¿Cuánto dinero ha recibido la entidad financiera del Estado?,cuánto dinero ha recibido la entidad financiera del estado
¿Cuál es el objetivo del fondo estatal holandés?,cuál es el objetivo del fondo estatal holandés
¿Por qué razón se ha decidido investigar al director del FMI?,por qué razón se ha decidido investigar al director del fmi
¿Quién capitaneó las invasiones de Britania?,quién capitaneó las invasiones de britania
¿Qué consiguió César en la segunda campaña contra Britania?,qué consiguió césar en la segunda campaña contra britania
¿A qué llamaban los romanos Britania?,a qué llamaban los romanos britania
¿Cuál era el parentesco de Cicerón con el miembro de su familia que formaba parte del ejército de César?,cuál era el parentesco de cicerón con el miembro de su familia que formaba parte del ejército de césar
¿Qué le solicitó Cicerón a Trebacio?,qué le solicitó cicerón a trebacio
¿Quién le detalló cómo era la geografía de la isla a Cicerón?,quién le detalló cómo era la geografía de la isla a cicerón
¿Por qué se llevó a cabo la rebelión de los vénetos según Estrabón?,por qué se llevó a cabo la rebelión de los vénetos según estrabón
¿Adónde se iban los soldados galos que escapaban del campo de batalla?,adónde se iban los soldados galos que escapaban del campo de batalla
¿Cuándo tuvo lugar la primera invasión?,cuándo tuvo lugar la primera invasión
¿Sobre qué trata El mundo sin nosotros?,sobre qué trata el mundo sin nosotros
¿Cuál sería un ejemplo de libro que explora una temática similar a El mundo sin nosotros?,cuál sería un ejemplo de libro que explora una temática similar a el mundo sin nosotros
¿Quién escribió El día de los trífidos?,quién escribió el día de los trífidos
¿Dónde promocionó Weisman su libro una vez que este salió a la venta?,dónde promocionó weisman su libro una vez que este salió a la venta
¿Cuándo entró El mundo sin nosotros en la lista de best seller de The New York Times?,cuándo entró el mundo sin nosotros en la lista de best seller de the new york times
¿Cuál fue el género de la lista de best seller de The New York Times en el que se clasificó El mundo sin nosotros?,cuál fue el género de la lista de best seller de the new york times en el que se clasificó el mundo sin nosotros
¿Qué objetivo se ha marcado este año el Madrid?,qué objetivo se ha marcado este año el madrid
¿Contra quién se enfrenta hoy el Madrid?,contra quién se enfrenta hoy el madrid
¿En qué campo se juega hoy el encuentro entre Tenerife y Madrid?,en qué campo se juega hoy el encuentro entre tenerife y madrid
¿Quién entrena al Tenerife?,quién entrena al tenerife
¿Quién es el técnico del Madrid?,quién es el técnico del madrid
¿Con cuántas victorias deben hacerse para encabezar la lista?,con cuántas victorias deben hacerse para encabezar la lista
¿En qué posición juega Davor Suker?,en qué posición juega davor suker
¿Hasta cuándo ha firmado Suker con el Madrid?,hasta cuándo ha firmado suker con el madrid
¿Qué pacto lograron Paraguay y Brasil el 25 de julio de 2009?,qué pacto lograron paraguay y brasil el 25 de julio de 2009
¿Quién está al mando de Paraguay?,quién está al mando de paraguay
¿Cómo se llamaba la novela de Ian Fleming en la que se basa Casino Royale?,cómo se llamaba la novela de ian fleming en la que se basa casino royale
¿Quién fue el actor que interpretó a James Bond en Casino Royale?,quién fue el actor que interpretó a james bond en casino royale
¿Cómo se conoce también a James Bond?,cómo se conoce también a james bond
¿Cuándo se hizo Eon Productions con los derechos de Casino Royale?,cuándo se hizo eon productions con los derechos de casino royale
¿Cuál fue la aportación principal de Haggis al guion de la película?,cuál fue la aportación principal de haggis al guion de la película
¿Quién pensaban los guionistas de Casino Royale que interpretaría a James Bond?,quién pensaban los guionistas de casino royale que interpretaría a james bond
¿Cuándo consigue Bond el código 00?,cuándo consigue bond el código 00
¿Dónde transcurren las escenas iniciales?,dónde transcurren las escenas iniciales
¿Cuál es la ocupación del personaje que interpreta Mads Mikkelsen?,cuál es la ocupación del personaje que interpreta mads mikkelsen
¿En qué centro esta siendo atendido Néstor Kirchner?,en qué centro esta siendo atendido néstor kirchner
¿Dónde vive Néstor Kirchner?,dónde vive néstor kirchner
¿Cuándo se practica la intervención?,cuándo se practica la intervención
¿En qué liga participa el Real Valladolid Club de Fútbol durante la temporada 2020-21?,en qué liga participa el real valladolid club de fútbol durante la temporada 2020-21
¿Dónde juega el Real Valladolid Club de Fútbol?,dónde juega el real valladolid club de fútbol
¿Cuál es la forma jurídica del Real Valladolid Club de Fútbol?,cuál es la forma jurídica del real valladolid club de fútbol
¿Cuántas personas han ostentado la presidencia del Real Valladolid?,cuántas personas han ostentado la presidencia del real valladolid
¿Quién fue el presidente más longevo del Real Valladolid?,quién fue el presidente más longevo del real valladolid
¿Cuándo fue nombrado presidente José Cantalapiedra?,cuándo fue nombrado presidente josé cantalapiedra
¿En cuántas ocasiones se ha llevado a cabo el Trofeo Ciudad de Valladolid?,en cuántas ocasiones se ha llevado a cabo el trofeo ciudad de valladolid
¿Quién venció en la edición de 2020 del Trofeo Ciudad de Valladolid?,quién venció en la edición de 2020 del trofeo ciudad de valladolid
¿Cómo estaba el marcador en el minuto 90 de partido en la edición del Trofeo en 2020?,cómo estaba el marcador en el minuto 90 de partido en la edición del trofeo en 2020
"¿Cuál es la denominación habitual que recibe el Parque Natural de la Cumbre, Circo y Lagunas de Peñalara?",cuál es la denominación habitual que recibe el parque natural de la cumbre circo y lagunas de peñalara
¿A cuánto asciende la extensión del Parque Natural de Peñalara?,a cuánto asciende la extensión del parque natural de peñalara
¿A qué altura se encuentra el pico de Peñalara?,a qué altura se encuentra el pico de peñalara
¿Cuál es el pico más alto de la Sierra de Guadarrama?,cuál es el pico más alto de la sierra de guadarrama
¿Dónde se encuentra el pico de Peñalara?,dónde se encuentra el pico de peñalara
¿Qué altura tiene el punto menos elevado del parque?,qué altura tiene el punto menos elevado del parque
¿Cómo se califica la climatología del parque natural de Peñalara?,cómo se califica la climatología del parque natural de peñalara
¿Cuáles son los rasgos del clima del parque por lo que respecta a sus temperaturas?,cuáles son los rasgos del clima del parque por lo que respecta a sus temperaturas
¿Cuándo se produce la niebla de hielo?,cuándo se produce la niebla de hielo
¿Qué enfermedad provoca el consumo de carne procesada?,qué enfermedad provoca el consumo de carne procesada
¿Cuánto aumenta el riesgo de sufrir cáncer colorrectal cada ingesta de 50 gramos de carne procesada?,cuánto aumenta el riesgo de sufrir cáncer colorrectal cada ingesta de 50 gramos de carne procesada
¿Quién elaboró el informe?,quién elaboró el informe
¿Qué tipo de música tocaba a Silvio su tío?,qué tipo de música tocaba a silvio su tío
¿Qué ideales tiene Silvio?,qué ideales tiene silvio
¿A qué tipo de música se acercó Silvio?,a qué tipo de música se acercó silvio
¿En qué localidad nació Silvio Rodríguez?,en qué localidad nació silvio rodríguez
¿Cómo se llamaba la hermana de la madre de Silvio Rodríguez?,cómo se llamaba la hermana de la madre de silvio rodríguez
¿En qué agrupación tocaba uno de los tíos de Silvio Rodríguez?,en qué agrupación tocaba uno de los tíos de silvio rodríguez
¿Cuánto dinero otorgará el Gobierno británico a cada veterano?,cuánto dinero otorgará el gobierno británico a cada veterano
¿Cuándo lucharon los veteranos?,cuándo lucharon los veteranos
¿Dónde lucharon los veteranos?,dónde lucharon los veteranos
¿Cómo murió un cuarto de los veteranos?,cómo murió un cuarto de los veteranos
¿A quiénes será otorgado el dinero?,a quiénes será otorgado el dinero
¿Cuándo se disculpó Japón por sus acciones durante el conflicto?,cuándo se disculpó japón por sus acciones durante el conflicto
"¿A qué idioma pertenece la palabra ""shazai""?","a qué idioma pertenece la palabra ""shazai"""
¿Quién anunció las indemnizaciones?,quién anunció las indemnizaciones
¿Qué cargo ocupa Lewis Moonie?,qué cargo ocupa lewis moonie
¿Dónde fueron anunciadas las indemnizaciones?,dónde fueron anunciadas las indemnizaciones
¿Cuántos tiros ha lanzado Nigeria en el área? ,cuántos tiros ha lanzado nigeria en el área
¿Qué profesión ejerce Bob Dylan?,qué profesión ejerce bob dylan
¿Qué premio ha recibido Bob Dylan de la Academia Sueca?,qué premio ha recibido bob dylan de la academia sueca
¿Por qué motivo le han dado a Dylan el Nobel de Literatura?,por qué motivo le han dado a dylan el nobel de literatura
¿Cómo se llama el sumergible ruso que se ha hundido?,cómo se llama el sumergible ruso que se ha hundido
¿Cuándo desapareció el sumergible ruso?,cuándo desapareció el sumergible ruso
¿Dónde fue visto por última vez el sumergible ruso?,dónde fue visto por última vez el sumergible ruso
¿Quién es Iliá Klebánov?,quién es iliá klebánov
¿Dónde ha sido localizado exactamente el sumergible ruso?,dónde ha sido localizado exactamente el sumergible ruso
¿Quienes son los culpables del incidente según la administración rusa?,quienes son los culpables del incidente según la administración rusa
Quién fabricó los detectores que advirtieron los dos estallidos?,quién fabricó los detectores que advirtieron los dos estallidos
¿Cuándo tuvo lugar el primer estallido?	,cuándo tuvo lugar el primer estallido
¿Cuándo se produjo el segundo estallido?,cuándo se produjo el segundo estallido
¿Dónde tienen huecos en las plumas las golondrinas comunes?,dónde tienen huecos en las plumas las golondrinas comunes
¿Quién se piensa que causan los huecos en las plumas de las golondrinas comunes?,quién se piensa que causan los huecos en las plumas de las golondrinas comunes
¿Cuál es el nombre científico del avión roquero americano?,cuál es el nombre científico del avión roquero americano
¿Desde cuándo han empleado las golondrinas las estructuras creadas por los hombres?,desde cuándo han empleado las golondrinas las estructuras creadas por los hombres
¿Qué se dice de las golondrinas en las Geórgicas de Virgilio?,qué se dice de las golondrinas en las geórgicas de virgilio
¿Cuál fue el motivo de la dispersión de las golondrinas en América?,cuál fue el motivo de la dispersión de las golondrinas en américa
"¿Cuándo empezó a denominarse ""cruzados"" a los participantes en la primera cruzada?","cuándo empezó a denominarse ""cruzados"" a los participantes en la primera cruzada"
¿Cómo se consideraban los cruzados a sí mismos?,cómo se consideraban los cruzados a sí mismos
"¿Por qué no se consideraban los cruzados los ""primeros""?","por qué no se consideraban los cruzados los ""primeros"""
¿Cómo influyó la bonanza de las urbes más importantes en las cruzadas?,cómo influyó la bonanza de las urbes más importantes en las cruzadas
¿Cuál era el motivo que tenían Venecia y Génova para participar en las cruzadas?,cuál era el motivo que tenían venecia y génova para participar en las cruzadas
¿Quién pensó en las cruzadas como una manera de extender el catolicismo?,quién pensó en las cruzadas como una manera de extender el catolicismo
¿Cuándo se sancionó la ley de fundación del CSIC?,cuándo se sancionó la ley de fundación del csic
¿Dónde se representan los más destacados académicos?,dónde se representan los más destacados académicos
¿Cuál es el lugar del CSIC en lo que respecta a las manifestaciones culturales del país?,cuál es el lugar del csic en lo que respecta a las manifestaciones culturales del país
¿Dónde se podía ver la Apoteosis de Santa Teresa de Sert?,dónde se podía ver la apoteosis de santa teresa de sert
¿Cuántos artistas representaron a España en la Exposición de Arte de Venecia?,cuántos artistas representaron a españa en la exposición de arte de venecia
¿Quién fue condecorado con el Gran Premio Benito Mussolini?,quién fue condecorado con el gran premio benito mussolini
¿Cuándo falleció Joaquín Turina?,cuándo falleció joaquín turina
¿Cuál era el instrumento que tocaba Nicanor Zabaleta?,cuál era el instrumento que tocaba nicanor zabaleta
¿A qué generación perteneció Luis de Pablo?,a qué generación perteneció luis de pablo
¿Cuál es el objetivo del Decreto de Graciano?,cuál es el objetivo del decreto de graciano
¿Quién fue Graciano?,quién fue graciano
¿Dónde se sitúa el Decreto de Graciano dentro de la obra de Graciano?,dónde se sitúa el decreto de graciano dentro de la obra de graciano
¿Cuál es la base de la técnica del sic et non?,cuál es la base de la técnica del sic et non
¿Quién se cree que le dio el nombre de Concordantia discordantium canonum al Decreto de Graciano?,quién se cree que le dio el nombre de concordantia discordantium canonum al decreto de graciano
¿Cómo se desarrollan las causas incluidas en Concordantia discordantium canonum?,cómo se desarrollan las causas incluidas en concordantia discordantium canonum
¿Cuál fue el objetivo de Graciano con Concordantia discordantium canonum?,cuál fue el objetivo de graciano con concordantia discordantium canonum
¿Cómo se consigue acabar con las contradicciones entre los cánones legislativos en el Decreto de Graciano?,cómo se consigue acabar con las contradicciones entre los cánones legislativos en el decreto de graciano
¿Cómo se denominaron las colecciones de lustres?,cómo se denominaron las colecciones de lustres
¿Quién es el jefe de Estado en Chile?,quién es el jefe de estado en chile
¿Qué precepto le corresponde de manera genérica al Presidente de Chile?,qué precepto le corresponde de manera genérica al presidente de chile
¿Qué tipo de estabilidad asegura el Presidente de Chile?,qué tipo de estabilidad asegura el presidente de chile
¿Cuántos son los factores que definen al Presidente de Chile?,cuántos son los factores que definen al presidente de chile
¿Dónde podemos leer que el Presidente de Chile es una de las figuras políticas más destacadas?,dónde podemos leer que el presidente de chile es una de las figuras políticas más destacadas
¿Quién ha sido considerado como una de las instituciones que conforman la constitución histórica de Chile?,quién ha sido considerado como una de las instituciones que conforman la constitución histórica de chile
¿Quién observó la nebulosa?,quién observó la nebulosa
¿A qué distancia de la Tierra está la nebulosa?,a qué distancia de la tierra está la nebulosa
¿Cuándo se documentó la supernova que originó la Nebulosa del Cangrejo?,cuándo se documentó la supernova que originó la nebulosa del cangrejo
¿Quién identificó a la estrella responsable de la existencia de la nebulosa?,quién identificó a la estrella responsable de la existencia de la nebulosa
¿Cómo emite la radiación la estrella?,cómo emite la radiación la estrella
¿Qué tipo de rayos descubrieron que emitía la estrella en 1967?,qué tipo de rayos descubrieron que emitía la estrella en 1967
¿Quién observó por primera vez la nebulosa?,quién observó por primera vez la nebulosa
¿Quién dio nombre a la nebulosa?,quién dio nombre a la nebulosa
¿Qué catálogo inauguró la nebulosa?,qué catálogo inauguró la nebulosa
¿Cuánto combustible podrá llevar plomo?,cuánto combustible podrá llevar plomo
¿Qué cargo ocupaba Piqué el año anterior?,qué cargo ocupaba piqué el año anterior
¿Cuántos coches no podrán utilizar combustible sin plomo 95 octanos en 2002?,cuántos coches no podrán utilizar combustible sin plomo 95 octanos en 2002
¿Hasta cuándo pidió España usar combustible con plomo?,hasta cuándo pidió españa usar combustible con plomo
¿Hasta cuándo le permitió a España la comisión que usara la gasolina con plomo?,hasta cuándo le permitió a españa la comisión que usara la gasolina con plomo
¿Qué tipo de armamento fue el más empleado en el ejército salvadoreño en 1932?,qué tipo de armamento fue el más empleado en el ejército salvadoreño en 1932
¿Cuáles eran los cuerpos que conformaban el ejército de El Salvador en 1932?,cuáles eran los cuerpos que conformaban el ejército de el salvador en 1932
¿Quién era el máximo dirigente del ejército de El Salvador en 1932?,quién era el máximo dirigente del ejército de el salvador en 1932
¿Cómo se llama el hermano de Feliciano Ama?,cómo se llama el hermano de feliciano ama
¿Qué describen las personas que participan en los homenajes en Izalco acerca de lo ocurrido en 1932?,qué describen las personas que participan en los homenajes en izalco acerca de lo ocurrido en 1932
¿Para qué se conmemoran los hechos de 1932 en Izalco?,para qué se conmemoran los hechos de 1932 en izalco
¿Qué han decidido las naciones integrantes de la Alianza Atlántica?,qué han decidido las naciones integrantes de la alianza atlántica
¿Cuánto valdría este programa de seguridad militar?,cuánto valdría este programa de seguridad militar
¿A qué compañía pertenecía el tren que se salió de la vía?,a qué compañía pertenecía el tren que se salió de la vía
¿Qué trayecto hacía el tren de Amtrak que se salió de la vía?,qué trayecto hacía el tren de amtrak que se salió de la vía
¿Quién es el dirigente de Ecuador?,quién es el dirigente de ecuador
¿Quién es el dirigente preferido a nivel mundial según la ACOP?,quién es el dirigente preferido a nivel mundial según la acop
¿Cuántos brasileños hay en España?,cuántos brasileños hay en españa
¿Cuándo acude Rossieli Soares a la frontera con Colombia?,cuándo acude rossieli soares a la frontera con colombia
¿En cuántos centros se impartirán clases de español de acuerdo con el proyecto?,en cuántos centros se impartirán clases de español de acuerdo con el proyecto
¿Cuándo compraron el nacimiento?,cuándo compraron el nacimiento
¿Cómo eran los tres reyes magos en el nacimiento que compraron?,cómo eran los tres reyes magos en el nacimiento que compraron
¿Cómo eran los pañales?,cómo eran los pañales
¿Por qué era explicable que no hubiera un Baltasar?,por qué era explicable que no hubiera un baltasar
¿Qué tipo de país descubrieron los enemigos?,qué tipo de país descubrieron los enemigos
¿Cómo estaba la gente que localizó el enemigo?,cómo estaba la gente que localizó el enemigo
¿Qué sustancia era sencillo elaborar?,qué sustancia era sencillo elaborar
¿Qué lugar atacaron los ingleses en la Segunda Guerra Mundial?,qué lugar atacaron los ingleses en la segunda guerra mundial
¿Qué es el carbunco?,qué es el carbunco
¿A quién puede infectar el carbunco?,a quién puede infectar el carbunco
¿En qué año decidió USA elaborar explosivos de carbunco?,en qué año decidió usa elaborar explosivos de carbunco
¿Cuál es la cifra de muertes causadas por el botulismo?,cuál es la cifra de muertes causadas por el botulismo
¿A qué se dedica José Viseras?,a qué se dedica josé viseras
¿Qué cargo tiene Jesús Villalobos?,qué cargo tiene jesús villalobos
¿En qué tema coinciden los campesinos de Almería?,en qué tema coinciden los campesinos de almería
¿Cómo debe ser la disminución de restantes?,cómo debe ser la disminución de restantes
¿Dónde estudió Antonio Marruecos?,dónde estudió antonio marruecos
¿Qué es el CUAM?,qué es el cuam
¿Quién está al mando del CUAM?,quién está al mando del cuam
¿Qué institución dirige Juan Planelles?,qué institución dirige juan planelles
¿Cuántos campesinos son miembros de la SAT?,cuántos campesinos son miembros de la sat
¿Cuándo se celebrarán los comicios?,cuándo se celebrarán los comicios
¿Qué porcentaje de votos consiguió Arauz?,qué porcentaje de votos consiguió arauz
¿Cuál es la corriente política preferida por los ecuatorianos?,cuál es la corriente política preferida por los ecuatorianos
¿Cómo se llama Uskub hoy en día?,cómo se llama uskub hoy en día
¿De quién cuidó Teresa de Calcuta casi 50 años?,de quién cuidó teresa de calcuta casi 50 años
¿Cuál fue el motivo de la canonización de Teresa de Calcuta?,cuál fue el motivo de la canonización de teresa de calcuta
¿Cuál fue el primer premio que recibió La Madre Teresa?,cuál fue el primer premio que recibió la madre teresa
¿Qué tipo de premio es el «Dayawati Modi»?,qué tipo de premio es el «dayawati modi»
¿Qué se publicó en 1992?,qué se publicó en 1992
¿Qué creía la Madre Teresa que hacía que la gente estuviese más cerca de Jesús?,qué creía la madre teresa que hacía que la gente estuviese más cerca de jesús
¿Qué le criticaba uno de sus enemigos a la Madre Teresa?,qué le criticaba uno de sus enemigos a la madre teresa
¿Qué le pasaba ante las cámaras a un paciente oncológico?,qué le pasaba ante las cámaras a un paciente oncológico
¿Dónde jugarán el Barcelona y la Fiorentina?,dónde jugarán el barcelona y la fiorentina
¿A qué equipo pertenece Messi?,a qué equipo pertenece messi
¿Cuánto tardará el TAS en resolver?,cuánto tardará el tas en resolver
"¿Cuál es el equivalente a la palabra ""bolero"" en francés?","cuál es el equivalente a la palabra ""bolero"" en francés"
¿En qué año se estrenó el Bolero de Ravel?,en qué año se estrenó el bolero de ravel
¿A quién estaba consagrada esta obra musical?,a quién estaba consagrada esta obra musical
¿Para qué instrumento escribió un Concierto Nielsen en 1928?,para qué instrumento escribió un concierto nielsen en 1928
¿Dónde compuso Respighi la Feste romane?,dónde compuso respighi la feste romane
¿Dónde escribió Mosólov La fundición de acero?,dónde escribió mosólov la fundición de acero
¿En qué se especializaba la editorial Éditions Durand?,en qué se especializaba la editorial éditions durand
¿Dónde se puede vender únicamente la reducción para piano a dos manos publicada por Unión Musical Española?,dónde se puede vender únicamente la reducción para piano a dos manos publicada por unión musical española
¿Quiénes son las autoras de uno de los arreglos más modernos del Bolero de Ravel?,quiénes son las autoras de uno de los arreglos más modernos del bolero de ravel
¿Quién es Dave Heiner?,quién es dave heiner
¿Cómo se abrevia la Comisión Europea?,cómo se abrevia la comisión europea
¿De qué fue objeto el jefe del ejecutivo español durante la celebración del 12 de octubre?,de qué fue objeto el jefe del ejecutivo español durante la celebración del 12 de octubre
¿Por qué ha bajado el reconocimiento social del mandatario español?,por qué ha bajado el reconocimiento social del mandatario español
¿Quién está al frente de Australia?,quién está al frente de australia
¿Quién ha protagonizado la ofensiva militar?,quién ha protagonizado la ofensiva militar
¿Cuál es el objetivo de los ataques?,cuál es el objetivo de los ataques
¿Qué medios se están utilizando para llevar a cabo esta misión?,qué medios se están utilizando para llevar a cabo esta misión
¿Qué destacado evento literario tiene lugar en Fráncfort?,qué destacado evento literario tiene lugar en fráncfort
¿Cuántas obras se expondrán en la muestra de este año?,cuántas obras se expondrán en la muestra de este año
¿Cuántas personas había viviendo en Argentina en 2019?,cuántas personas había viviendo en argentina en 2019
¿Cuál era el porcentaje de personas que habitaban en ciudades en Argentina el año 2011?,cuál era el porcentaje de personas que habitaban en ciudades en argentina el año 2011
¿Qué países tienen mayor población que Argentina en Latinoamérica?,qué países tienen mayor población que argentina en latinoamérica
¿Qué país superó en términos económicos a Argentina en 2020 en el ámbito latinoamericano?,qué país superó en términos económicos a argentina en 2020 en el ámbito latinoamericano
¿A quién congrega el G-20?,a quién congrega el g-20
¿Cuál es el recurso natural del que más se beneficia Argentina?,cuál es el recurso natural del que más se beneficia argentina
¿Quién es el supuesto responsable del ataque mortal que tuvo lugar en Nueva York?,quién es el supuesto responsable del ataque mortal que tuvo lugar en nueva york
¿Con qué grupo terrorista estaría relacionado el presunto autor de los hechos?,con qué grupo terrorista estaría relacionado el presunto autor de los hechos
¿Quién fue el fundador de la Unión Cívica Radical?,quién fue el fundador de la unión cívica radical
¿Cuántas veces estuvo la UCR al mando de Argentina?,cuántas veces estuvo la ucr al mando de argentina
¿De qué coalición formó parte la UCR en 2015?,de qué coalición formó parte la ucr en 2015
¿Por qué habían descendido los salarios en Argentina en 1889?,por qué habían descendido los salarios en argentina en 1889
¿Quiénes conformaban el régimen oligárquico de los primeros momentos del estado argentino?,quiénes conformaban el régimen oligárquico de los primeros momentos del estado argentino
¿Cuál era la relación de Miguel Juárez Celman con Julio Argentino Roca?,cuál era la relación de miguel juárez celman con julio argentino roca
¿Cuándo colocarán los astronautas el nuevo depósito?,cuándo colocarán los astronautas el nuevo depósito
¿Cuánto pesa el nuevo depósito?,cuánto pesa el nuevo depósito
¿Quiénes retiraron el depósito?,quiénes retiraron el depósito
¿Cuántos votantes tiene Gibraltar?,cuántos votantes tiene gibraltar
¿Cuándo se convirtió Gibraltar en una colonia?,cuándo se convirtió gibraltar en una colonia
